City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
668,Yar-Sale,RU,66.8333,70.8333,-0.96,99,90,5.77,overcast clouds
669,Abalak,RU,58.1286,68.5944,17.15,96,100,4.43,overcast clouds
670,Daru,PG,-9.0763,143.2092,87.91,61,100,7.67,overcast clouds
671,Moindou,NC,-21.6924,165.677,87.75,77,99,7.56,overcast clouds
672,Rosario,AR,-32.9468,-60.6393,70.83,82,0,1.01,clear sky
673,Xingcheng,CN,40.6167,120.7167,22.77,55,0,10.02,clear sky
674,Saint-Joseph,RE,-21.3667,55.6167,80.98,84,100,21.25,light rain
675,Harper,LR,4.375,-7.7169,78.48,83,84,5.23,broken clouds
676,Fomboni,KM,-12.28,43.7425,83.32,72,66,20.94,light rain
677,Lima,PE,-12.0432,-77.0282,68.4,66,0,12.66,clear sky
678,Bairiki,KI,1.3292,172.9752,87.8,70,40,13.8,light rain
679,Tynda,RU,55.1667,124.7167,6.78,66,77,11.36,broken clouds
680,Narsaq,GL,60.9167,-46.05,-0.26,51,0,16.44,clear sky
681,Wajima,JP,37.4,136.9,32.68,80,75,6.91,light snow
682,Nome,US,64.5011,-165.4064,3.27,66,20,6.91,few clouds
683,Komsomolets,KZ,53.7453,62.0708,19.31,84,100,9.89,overcast clouds
684,Gines,ES,37.3868,-6.0774,52.81,90,0,0.0,clear sky
685,Hit,IQ,33.6416,42.8251,47.14,68,6,10.13,clear sky
686,Butoiesti,RO,44.5833,23.3667,29.28,69,1,2.64,clear sky
687,Nemuro,JP,43.3236,145.575,27.03,60,22,17.34,few clouds
688,Port Hedland,AU,-20.3167,118.5667,93.25,62,48,19.57,scattered clouds
689,Plouzane,FR,48.3833,-4.6167,44.65,84,20,4.61,few clouds
690,Camacha,PT,33.0833,-16.3333,60.22,94,20,3.44,few clouds
691,Yenagoa,NG,4.9247,6.2642,76.24,90,12,2.8,few clouds
692,Ta Khmau,KH,11.4833,104.95,84.25,54,20,8.05,few clouds
693,Cleethorpes,GB,53.5605,-0.0323,38.16,87,14,16.11,few clouds
694,Finschhafen,PG,-6.6024,147.8681,87.06,72,39,12.64,scattered clouds
695,Bay Roberts,CA,47.5999,-53.2648,31.75,98,100,1.74,snow
696,Tabas,IR,33.5959,56.9244,55.56,45,72,6.13,broken clouds
697,Cartagena Del Chaira,CO,1.3349,-74.8429,74.98,85,99,1.41,overcast clouds
698,Dicabisagan,PH,17.0818,122.4157,75.15,85,97,10.69,overcast clouds
699,Dezful,IR,32.3811,48.4058,51.55,66,54,5.57,broken clouds
700,Arlit,NE,18.7369,7.3853,53.78,26,0,4.7,clear sky
701,Shuyskoye,RU,59.3736,41.0305,-6.83,100,98,3.0,overcast clouds
702,Borshchiv,UA,48.8033,26.0435,30.61,71,100,3.49,overcast clouds
703,Naze,JP,28.3667,129.4833,58.12,64,98,17.07,overcast clouds
704,Hovd,MN,48.0056,91.6419,-4.49,76,5,1.95,clear sky
705,Kalanguy,RU,51.0167,116.5167,4.12,82,100,4.09,overcast clouds
706,Popondetta,PG,-8.7537,148.2534,86.95,66,80,7.27,broken clouds
