City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
449,Aloleng,PH,84.4,broken clouds,16.1307,119.7824,Steve Walden and Emma Sison-Walden Residence
450,Kahului,US,79.86,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
451,Kaeo,NZ,75.33,broken clouds,-35.1,173.7833,Bushido Lodge
455,Atambua,ID,82.4,broken clouds,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
457,Marawi,PH,81.91,broken clouds,7.9986,124.2928,Derogongan Residence
458,Trairi,BR,76.19,heavy intensity rain,-3.2778,-39.2689,janelas do mar
461,Santa Rita,BR,79.47,scattered clouds,-7.1139,-34.9781,Infinity Motel
462,Auki,SB,84.54,overcast clouds,-8.7676,160.7034,Auki Motel
463,Kudahuvadhoo,MV,81.88,scattered clouds,2.6708,72.8944,Niyama Private Islands Maldives
465,Ambunti,PG,92.57,overcast clouds,-4.2365,142.8448,AMBUNTI HIDE INN
466,Port Augusta,AU,90.72,clear sky,-32.5,137.7667,Majestic Oasis Apartments
471,Champerico,GT,81.36,clear sky,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
484,Muisne,EC,76.68,overcast clouds,0.6,-80.0333,Quinta Samay
486,Mahina,PF,83.97,light rain,-17.5065,-149.489,Guest Beach Bungalow Tahiti
488,Kannur,IN,76.26,broken clouds,11.8675,75.3576,Asokam Beach Resort and Ayurveda Chikitsa Kendram
490,Kulhudhuffushi,MV,81.14,broken clouds,6.6221,73.07,Haajy Guest House 1
492,San Juan,AR,77.94,clear sky,-31.5375,-68.5364,Hotel Provincial
494,Coffs Harbour,AU,77.27,broken clouds,-30.3,153.1333,Aquajet Motel
495,Banda Aceh,ID,84.92,broken clouds,5.5577,95.3222,Sulthan Hotel International
496,Kununurra,AU,78.78,light rain,-15.7667,128.7333,Hotel Kununurra
498,Trincomalee,LK,77.56,clear sky,8.5711,81.2335,Welcombe Hotel
499,Ewa Beach,US,78.75,broken clouds,21.3156,-158.0072,Uncle Junior Robert
504,Pochutla,MX,76.82,clear sky,15.7432,-96.4661,Hotel Posada San Jose
508,Ahuimanu,US,78.51,overcast clouds,21.4447,-157.8378,Paradise Bay Resort
